Calories,NumberOfMeals,Breakfast,Lunch,Dinner,Snack,Snack2
2064.56,3,Poached Egg and Crispy Prosciutto Toast,Cottage Cheese with Apples & Cinnamon,Strawberry Protein Shake,,
2064.56,4,Creamy Green Chia Smoothie,Avocado Rice Cake,Yogurt with Avocado & Basil,Orange and Pomegranate Salad,
2064.56,5,Protein Power Oats,Toast with Tomato and Hummus,Turkey Veggie Hummus Wrap,Balsamic Arugula Salad,Feta Cucumber Boats
2327.33,3,Vegetable 3 Egg Scramble,Nonfat yogurt,Chocolate PB & Banana Protein Shake,,
2327.33,4,Ham and Egg Scramble,Apples and Almond Butter on Toast,Simple Strawberry Protein Shake,Avocado Rice Cake,
2327.33,5,Tomatillo and Avocado Scramble,Fruit Salad,Seedy Avocado Toast,Yogurt with Walnuts & Honey,Sardine Salad Sandwich
2590.09,3,Protein Yogurt and Blueberries,Peaches & Almond Butter on Toast,Chicken & Vegetable Wrap,,
2590.09,4,Banana Protein Pancakes,Whey Chocolate Shake,Tuna Salad,5-Minute Healthy Strawberry Frozen Yogurt,
2590.09,5,Apple Granola "Cookies",Strawberry and Almond Butter Fruit Smoothie,Paleo Avocado Chicken Salad,Yogurt with Papaya,Pinto Bean salad
2852.85,3,Post-Workout Peanut Butter Shake,Peaches & Almond Butter on Toast,Blueberry Kale Salad,,
2852.85,4,Morning Green Smoothie,Classic Fruit Salad,Kale White Bean and Pesto Salad,Yogurt with Walnuts & Honey,
2852.85,5,Breakfast Quesadilla,Yogurt with Walnuts & Honey,Salmon Salad Sandwich,Edamame Slaw,Chocolate Peanut Butter Oatmeal Protein Shake
1630,3,Peanut Butter Protein Oats,Kiwi Berry Smoothie,Turkey Wrap,,
1630,4,Low Carb Pancakes,Cinnamon Apple and Honey Toast,Almonds and Blueberries Yogurt Snack,Basic Tossed Salad,
1630,5,Croque Monsieur Sliders,"Toast with Tomato, Onion, & Hummus",Strawberry Banana Protein Shake,Spinach and Broccoli Salad,Maple Pear Spinach & Ham Salad
1956,3,Breakfast Oatmeal with Milk and Blueberries,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Chocolate Peanut Butter Oatmeal Protein Shake,,
1956,4,Guacamole Pizza,Plum and Greek Yogurt Snack,Deli Beef and Sharp Cheddar Roll-Ups,Strawberry and Almond Butter Fruit Smoothie,
1956,5,"Spinach, Pepper, and Tomato Scramble on Toast",Nonfat yogurt,All American Tuna,Mixed Greens with Sliced Cucumber and Avocado,Avocado Chickpea Lettuce Wraps
2241.25,3,Simple Strawberry Protein Shake,Cinnamon Sugar Toast with Sea Salt,Cool Summer Cucumber Chicken and Tomato Toss,,
2241.25,4,Spinach Scramble,Kiwi Berry Smoothie,Quick Avocado Tuna Sandwich,Simple Mixed Greens Salad,
2241.25,5,Blueberry Almond Chia Pudding,Nonfat greek yogurt,White Bean & Artichoke Toast,Cucumber Snack Sandwiches,"Turkey, Ham, and Avocado on Rye"
2526.5,3,Poached Egg and Ham Toast,Strawberry and Almond Butter Fruit Smoothie,Protein Yogurt and Blueberries,,
2526.5,4,Morning Green Smoothie,Cinnamon Apple Bites,Cilantro Crab & Corn Stuffed Peppers,Yogurt & Cantaloupe,
2526.5,5,Vanilla Protein Milkshake,Avocado Rice Cake,Blackberry Yogurt Parfait,Caprese Salad,Sardine Salad Sandwich
2811.75,3,Baked Eggs in Ham,Peanut Butter and Date Shake,Two Bean Salad,,
2811.75,4,Vanilla Protein Milkshake,Apples and Almond Butter,Simple Ham and Lettuce Sandwich,Yogurt & Strawberries,
2811.75,5,Avocado Sandwich,Nonfat yogurt,Chocolate Banana Smoothie,Arugula Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3097,3,Apple Crumble Supreme,Protein-boosted Yogurt,Peanut Butter and Strawberry Banana Smoothie,,
3097,4,Mango Granola Parfait,Protein Berry Crumble,"Turkey, Provolone, and Sprout Sandwich",Carrots with Hummus,
3097,5,Protein Yogurt and Blueberries,Avocado Rice Cake,Chocolate Peanut Butter Oatmeal Protein Shake,Kale Avocado Salad,Tuna & White Bean Salad
1901.5,3,Banana Peanut Butter Chia Pudding,Yogurt & Honeydew Melon,Cool Summer Cucumber Chicken and Tomato Toss,,
1901.5,4,Greek Yogurt and Berry Parfait,Cranberry Almond Energy Balls,Tropical Green Protein Smoothie,Simple Mixed Greens Salad,
1901.5,5,Protein Power Oats,PB & Dates Energy Bites,Peach and Strawberry Smoothie,Yogurt with Walnuts & Honey,Brie cheese on bread
2281.8,3,Mixed Berry Morning Smoothie,Yogurt & Banana Chips,All American Tuna,,
2281.8,4,Black Bean Omelet,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Protein Yogurt and Blueberries,Sliced bell pepper,
2281.8,5,Ham and Veggie Omelet,Toast with Tomato and Hummus,Blackberry Yogurt Parfait,Chopped Salad,Chocolate Almond Milk Protein Shake
2614.56,3,Paleo Tomato and Egg Scramble,Apple Pie Kefir Smoothie,Spicy Tuna Salad,,
2614.56,4,Egg and Greens Skillet,Yogurt & Honeydew Melon,Post-Workout Peanut Butter Shake,Sliced bell pepper,
2614.56,5,Coconut Cinnamon Oats,Yogurt with Almonds & Honey,Quick Avocado Tuna Sandwich,Brie and Celery,Raspberry Peanut Butter Protein Smoothie
2947.33,3,Morning Green Smoothie,Yogurt with Walnuts & Honey,Sun-Dried Tomato Turkey Rollups,,
2947.33,4,"""Banana Cream Pie"" Oatmeal",Cottage Cheese with Apples & Cinnamon,Spicy Tuna Salad,Yogurt & Raisins,
2947.33,5,English Muffin Ham Breakfast Sandwich,Lemon Berry Smoothie,Cilantro Crab & Corn Stuffed Peppers,Yogurt with Matcha & Toasted Coconut,Tuna with Avocado
3280.09,3,"Peanut Butter, Banana, and Oatmeal Pancakes",Granola,Peach Oatmeal Smoothie,,
3280.09,4,Sausage and Egg Breakfast Sandwich,Yogurt with Apricot and Grapefruit,Hummus Avocado Toast,Tuna Apple Salad,
3280.09,5,Avocado Sandwich,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Lime Chicken Salad,Peanut Butter Banana Smoothie,Tuna & White Bean Salad
3612.85,3,Greek Yogurt with Blue and Blackberries,Fried Rice,Chocolate and Banana Kefir Smoothie,,
3612.85,4,Peanut Butter and Honey Oatmeal,Nonfat greek yogurt,Post-Workout Peanut Butter Shake,Quick and Easy Low Carb Caprese Salad,
3612.85,5,Egg Cups,Peanut Butter Bagel,Tuna and Avocado Salad,Rice Cake with Peanut Butter and Chocolate Chips,Chicken Caesar Wraps
1846.25,3,Peanut Butter Berry Pineapple Protein Smoothie,Peaches and Almond Butter on Toast,Keto Avocado Pepperoni Salad,,
1846.25,4,"Kale, Sweet Potato, and Onion Frittata",Buttered Toast,"Mango, Berry, Flax Smoothie",Almonds,
1846.25,5,Egg White Avocado & Tomato Scramble,Cinnamon Sugar Toast with Sea Salt,Sunrise Smoothie,Green salad,"Toast with Figs, Ricotta, & Sesame Seeds"
2215.5,3,Egg in a nest,Strawberry and Almond Butter Fruit Smoothie,"Turkey, Provolone, and Sprout Sandwich",,
2215.5,4,Oatmeal Cottage Cheese Pancakes,Rice Cakes with Banana & Almond Butter,Peach Protein Smoothie,Tomato Basil Layered Salad,
2215.5,5,Onion and Tomato Omelet,Cottage Cheese and Strawberry Toast,Yogurt with Avocado & Basil,Mixed Greens with Sliced Cucumber and Avocado,"Turkey, Ham, and Avocado on Rye"
2538.59,3,Chocolate peanut protein shake,Peaches & Almond Butter on Toast,Cool Summer Cucumber Chicken and Tomato Toss,,
2538.59,4,Protein Yogurt and Blueberries,Banana,Kale White Bean and Pesto Salad,Cottage Cheese with Cucumber and Tomato,
2538.59,5,Peanut Butter Protein Yogurt,Cream Cheese Toast,Sunrise Smoothie,Spinach and Broccoli Salad,Trail Mix
2861.69,3,Protein Silver Dollar Blueberry Pancakes,Rice Cake with Peanut Butter and Chocolate Chips,Banana Orange Smoothie,,
2861.69,4,Tasty Turkey & Spinach Omelet,Apples and Almond Butter on Toast,Chicken and avocado salad,Yogurt & Apricots,
2861.69,5,"Egg, Avocado, and Bacon Scramble",Yogurt & Mango,Turkey Veggie Hummus Wrap,Cantaloupe with Feta & Pepper,Paleo Avocado Tuna Salad (Tuna in Water)
3184.78,3,"Egg, Avocado, and Bacon Scramble",Yogurt & Mango,Turkey Veggie Hummus Wrap,,
3184.78,4,Pumpkin Pecan Oatmeal,Microwave Poached Eggs,Strawberry Oatmeal Protein Smoothie,Turkey and Avocado Wrap,
3184.78,5,Eggs Baked in Avocado with Bacon,Protein-boosted Honey Yogurt,Tuna Salad  Wrap,Avocado,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3507.88,3,Coconut Banana Protein Shake,Honey Grapefruit with Banana,Yogurt Parfait,,
3507.88,4,Herb Omelette with Fried Tomatoes,"Cinnamon, Honey, Apple Cottage Cheese",Apple Walnut Parfait,Ants on a Log,
3507.88,5,Protein Greek Yogurt and Fruit Salad,Rice Cake with Peanut Butter and Chocolate Chips,Tuna Poke,"Banana, Coffee, Cashew, and Cocoa Smoothie",Chicken Caesar Wraps
1626.5,3,English Muffin Breakfast Pizza,Blueberry Watermelon Smoothie,Avocado Chickpea Lettuce Wraps,,
1626.5,4,Cinnamon Swirl Pumpkin Pie Protein Pancakes,Avocado Rice Cake,Lemon-Pepper Tuna Sandwich,Plum and Greek Yogurt Snack,
1626.5,5,Egg White Avocado & Tomato Scramble,Buttered Toast,All American Tuna,Brussels Sprout Slaw,Zesty Bean Dip & Chips
1951.8,3,Chocolate Peanut Butter Oatmeal Protein Shake,Peaches & Almond Butter on Toast,Blackberry Yogurt Parfait,,
1951.8,4,Banana Almond Shake,Buttered Toast,Greek Yogurt  with Mixed Berries,Avocado lettuce wrap,
1951.8,5,Almonds and Blueberries Yogurt Snack,Cinnamon Apple and Honey Toast,Lemon-Pepper Tuna Sandwich,Pineapple & Avocado Salad,Vanilla Banana Protein Shake
2236.44,3,Banana Bread Kefir smoothie,"Smoked Salmon, Goat Cheese, & Cucumber Bites",Paleo Avocado Tuna Salad (Tuna in Oil),,
2236.44,4,Egg with Bacon and Brussel Sprout Hash,Yogurt & Honeydew Melon,Turkey Veggie Hummus Wrap,Brussels Sprout Slaw,
2236.44,5,Protein Power Oats,Plum and Greek Yogurt Snack,Tuna & White Bean Salad,Sliced Turkey Pinwheels,Raspberry Peanut Butter Protein Smoothie
2521.08,3,Chocolate peanut protein shake,Blueberry Yogurt,Tuna and Avocado Wrap,,
2521.08,4,Zucchini Hash Browns,Whey Chocolate Shake,Red Eye Protein Parfait,Green Kale Salad,
2521.08,5,Peaches and Cream Protein Shake,PB & Dates Energy Bites,Simple Ham and Lettuce Sandwich,Thai Cucumber Salad,"Cream Cheese, Lox, and Capers English Muffin"
2805.71,3,"Peanut Butter, Banana, and Oatmeal Pancakes","Ginger, Apple, and Mint Green Smoothie",Greek Chickpea Salad,,
2805.71,4,Red Eye Protein Parfait,Cinnamon Toast,Chocolate peanut protein shake,Brussels Sprout Slaw,
2805.71,5,Hard Boiled Egg and Avocado Bowl,Yogurt & Raisins,Cottage Cheese with Raspberries,Ants on a Log,Sardine Salad Sandwich
3090.35,3,"Mango, Berry, Flax Smoothie",Protein Berry Crumble,Simple Ham and Lettuce Sandwich,,
3090.35,4,Eggs Baked in Avocado with Bacon,Strawberry and Almond Butter Fruit Smoothie,Blueberry Kale Salad,Nonfat yogurt,
3090.35,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Peanut Butter and Peach Toast,Spicy Tuna Salad,Yogurt with Papaya,Chicken Caesar Wraps
1786.25,3,Protein Banana Egg Pancakes,Avocado Rice Cake,"Chocolate, Avocado, and Strawberry Smoothie",,
1786.25,4,Avocado & Tomato Toast,Orange Dream Protein Smoothie,Turkey Veggie Hummus Wrap,Cucumber Salad,
1786.25,5,Strawberry Banana Protein Shake,Peanut Butter and Peach Toast,Greek Yogurt and Berry Parfait,Cauliflower and Hummus Snack,Avocado Citrus Salad with Mint
2143.5,3,Strawberry French Toast,Cottage Cheese with Apples & Cinnamon,Cilantro Crab & Corn Stuffed Peppers,,
2143.5,4,Savory Cr?pes,Yogurt with Pumpkin & Cinnamon,Sunrise Peanut Butter Berry Protein Smoothie,Lebanese Tomato and Onion Salad,
2143.5,5,Protein Power Oats,"Toast with Berries, Basil & Cream Cheese",Raspberry Peanut Butter Protein Smoothie,Yogurt with Carrots & Cucumber,Trail Mix
2456.09,3,Apple Sandwiches with Almond Butter & Granola,Honey and Melon Cottage Cheese,Classic Tuna Salad,,
2456.09,4,Spinach and Poached Egg Muffins,Yogurt & Cantaloupe,Tuna-Avocado Sandwich,Cottage Cheese with Artichokes & Olives,
2456.09,5,Greek Yogurt and Berry Parfait,Peaches & Almond Butter on Toast,Quick Avocado Tuna Sandwich,Mediterranean Salad,Spinach and Turkey Wrap
2768.69,3,Pumpkin Pecan Oatmeal,Cinnamon Toast,Banana oatmeal smoothie,,
2768.69,4,Vanilla Protein Milkshake,Apples and Almond Butter on Toast,Avocado Sandwich,Yogurt with Pumpkin & Cinnamon,
2768.69,5,Blueberry Peach Oatmeal,Basic Protein Shake,Quick and Easy Chicken Salad Sandwich,Avocado Rice Cake,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3081.28,3,Protein Power Oats,Rice Cake with Peanut Butter and Chocolate Chips,Blueberry Shake,,
3081.28,4,Ham and Egg Scramble,Apple Slice Sandwich,Turkey Wrap,Whey Chocolate Shake,
3081.28,5,Fried Eggs on Toast with Pepper Jack and Avocado,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Oatmeal banana protein shake,Simple Mixed Greens Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey"
3393.88,3,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Fried Rice,Avocado Breakfast Smoothie,,
3393.88,4,"Peanut Butter, Banana, and Oatmeal Pancakes",Oranges,"Turkey, corn and tomato wrap","Chickpea, Walnut, & Cucumber Yogurt",
3393.88,5,"Scrambled Eggs, Avocado, and Smoked Salmon on Toast",Light Nectarine Yogurt,Strawberry Oatmeal Protein Smoothie,Avocado Coleslaw,Tuna & White Bean Salad
1737.75,3,Banana Almond Shake,Guacamole on Tostada,Hummus Avocado Toast,,
1737.75,4,Blackberry Yogurt Parfait,Apple Toast,Tuna Salad  Wrap,Avocado Rice Cake,
1737.75,5,"Kale, Peppers, Tomatoes, and Cashew Scramble",Fruit Salad,Greek Yogurt with Blue and Blackberries,Simple Spinach Salad,Peanut Butter & Celery
2085.3,3,Sweet Potato Hash,Yogurt with Walnuts & Honey,Creamy Green Chia Smoothie,,
2085.3,4,English Muffin Breakfast Pizza,Cinnamon Toast,Chicken Celery Sticks,Sprout Salad,
2085.3,5,Protein Silver Dollar Blueberry Pancakes,"Toast with Figs, Ricotta, & Sesame Seeds",Chocolate Peanut Butter Oatmeal Protein Shake,Turkey and Avocado Wrap,"Rice Cake with Peanut Butter, Blackberries & Honey"
2389.41,3,Dark Chocolate Banana Smoothie,Turkish Style Zucchini Fritters,Turkey Wrap,,
2389.41,4,Tomatillo and Avocado Scramble,Rice Cakes with Banana & Almond Butter,Protein Yogurt and Blueberries,Fresh Jicama Salad,
2389.41,5,Hazelnut and Banana "Sushi","Smoked Salmon, Goat Cheese, & Cucumber Bites",Strawberry Almond Trim Smoothie,Almonds,Greek Yogurt and Fruit Salad
2693,3,Egg Cups,Peanut Butter Bagel,Sunrise Smoothie,,
2693,4,Protein Yogurt and Blueberries,Avocado Rice Cake,Quick Salsa Tuna Wrap,Kale Avocado Salad,
2693,5,Tasty Turkey & Spinach Omelet,Buttered Toast with Cinnamon,Quick Avocado Tuna Sandwich,Quick Mint Yogurt,Seedy Avocado Toast
2997.62,3,Pumpkin Pie Spiced Waffles,Sweet Cottage Cheese & Blue Berries,Peach Oatmeal Smoothie,,
2997.62,4,Baked Eggs in Ham,Cherry Berry Protein Smoothie,Greek Chickpea Salad,Plum and Greek Yogurt Snack,Beef with Cumin
2997.62,5,Peach Oatmeal Smoothie,Chicken and avocado salad,"Banana, Almond Butter, and Dates",Tuna Salad  Wrap,
3301.72,3,Banana Mash Muscle Muffins,Cinnamon Sugar Toast with Sea Salt,Greek Chickpea Salad,,
3301.72,4,Egg in a Cup,Cherry Berry Protein Smoothie,Tomato and Hummus Pocket Sandwich,Green Bean Healthy Tuna Salad,Turkey Wrap
3301.72,5,Fried Eggs with Bacon and Radish,Cinnamon Apple Delight,Chocolate Banana Smoothie,Edamame Slaw,
2152.5,3,Sunrise Peanut Butter Berry Protein Smoothie,"Toast with Berries, Basil & Cream Cheese",Cilantro Crab & Corn Stuffed Peppers,,
2152.5,4,Creamy Green Chia Smoothie,Avocado Rice Cake,Keto Avocado Pepperoni Salad,Yogurt with Papaya,"Rice Cake with Peanut Butter, Blackberries & Honey"
2152.5,5,Protein Southwest Scramble,Goat Cheese on Toasted Bread with Tomato,Sunrise Smoothie,Balsamic Arugula Salad,
2583,3,Zucchini Hash,"Banana, Berries, and Bittersweet Chocolate Snack",Protein Yogurt and Blueberries,,
2583,4,"Egg, Avocado, and Bacon Scramble",Apples and Almond Butter on Toast,Simple Ham and Lettuce Sandwich,"Spinach, Ham, and Pear Salad",Trail Mix
2583,5,Broccoli with Sesame Egg Ribbons,Light Raspberry yogurt,Chicken Celery Sticks,"Rice Cake with Peanut Butter, Pear, and Honey",
2959.69,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Banana Smoothie,Hummus Avocado Toast,,
2959.69,4,Mocha Berry Almond Smoothie,Peaches and Almond Butter on Toast,Hummus Pocket Sandwich,Yogurt & Banana,"Turkey, Cheddar, and Mustard Sandwich"
2959.69,5,Peanut Butter Raisin Oatmeal,Nonfat greek yogurt,Post-Workout Banana Protein Smoothie,Bean Sprout and Spinach Salad,
3336.38,3,Spiced Berry Cobbler Oatmeal,Cottage Cheese with Apples & Cinnamon,1000 Calorie Shake,,
3336.38,4,Vanilla Banana Protein Shake,Rice Cake with Peanut Butter and Chocolate Chips,Blackberry Yogurt Parfait,Tuna Apple Salad,SuperGreen Chia Pudding
3336.38,5,"Mushroom, Spinach, and Goat Cheese Omelet",Peach and Peanut Butter Snack,Mocha Berry Almond Smoothie,Tuna in Cucumber Cups,
3713.06,3,Banana Mash Muscle Muffins,Cinnamon Banana Mug Cake,Caprese Corn Lunch Salad,,
3713.06,4,Pumpkin Pecan Oatmeal,Peaches and Almond Butter on Toast,Peanut Butter and Strawberry Banana Smoothie,Very Berry Cottage Cheese,Chilled Cucumber Avocado Soup
3713.06,5,Pumpkin Pie Spiced Waffles,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Oatmeal banana protein shake,Apples and Almond Butter,
4089.75,3,Apple Walnut Parfait,Peanut Butter Bagel,Spicy Tuna and Cottage Cheese Bowl,,
4089.75,4,Peanut Butter and Honey Oatmeal,Yogurt with Cucumber & Lox,Coconut Banana Protein Shake,Quick Grapefruit,Tuna Apple Salad
4089.75,5,Peanut Butter and Honey Oatmeal,Yogurt with Cucumber & Lox,Coconut Banana Protein Shake,Quick Grapefruit,
1615.25,3,Breakfast Parfait,Buttered Toast with Cinnamon,Raspberry Peanut Butter Protein Smoothie,,
1615.25,4,Guacamole Pizza,Pineapple Cottage Cheese with Lime,Peaches and Cream Protein Shake,Cucumber Salad,"Rice Cake with Peanut Butter, Coconut, & Dried Cherries"
1615.25,5,Chocolate Peanut Butter Oatmeal Protein Shake,Microwave Poached Eggs,Almonds and Blueberries Yogurt Snack,Hummus Chickpea Snack Sandwiches,
1938.3,3,Breakfast taco,Chocolate Avocado Smoothie,Tuna Stuffed Pepper,,
1938.3,4,Raspberries and Blackberries Protein Smoothie,"Toast with Tomato, Onion, & Hummus",Grown-Up PB&J Toast,Honey and Melon Cottage Cheese,Avocado Chickpea Lettuce Wraps
1938.3,5,Peanut Butter Coconut Protein Smoothie,Cantaloupe,Tropical Fruit Salad,Rice Cake with Salmon & Dill Spread,
2220.97,3,Morning Salmon Salad,Whey Chocolate Shake,Red Eye Protein Parfait,,
2220.97,4,Blueberry and Sunflower Seed Steel Cut Oatmeal,Apple,Protein Greek Yogurt and Fruit Salad,Avocado,"Turkey, Ham, and Avocado on Rye"
2220.97,5,Banana Oat and Peanut Butter Muffin,Microwave Poached Eggs,Sunrise Peanut Butter Berry Protein Smoothie,Tomato and Radish Salad,
2503.64,3,Egg White Avocado & Tomato Scramble,Coco Bongo protein shake,Paleo Avocado Tuna Salad (Tuna in Oil),,
2503.64,4,English Muffin Egg Sandwich,Yogurt & Dried Mango,Paleo Avocado Chicken Salad,Very Berry Cottage Cheese,"Rice Cake with Peanut Butter, Blackberries & Honey"
2503.64,5,"Peanut Butter, Mango, and Kale Protein Smoothie",Guacamole on Tostada,Turkey Veggie Hummus Wrap,Cucumber Avocado Salad,
2786.31,3,Cinnamon Swirl Pumpkin Pie Protein Pancakes,Almond Butter Banana Toast,Oatmeal Banana Peanut Butter Chocolate Shake,,
2786.31,4,Breakfast Greek Yogurt Delight,Peach and Peanut Butter Snack,Creamy Green Chia Smoothie,Rice Cake with Salmon & Dill Spread,Tuna Salad  Wrap
2786.31,5,Avocado and Salmon Toast,Orange Dream Protein Smoothie,Hummus Avocado Toast,Yogurt with Walnuts & Honey,
3068.97,3,Smoked Salmon and Egg Tortilla,Yogurt & Apricots,Oatmeal Banana Peanut Butter Chocolate Shake,,
3068.97,4,Morning Salmon Salad,Rice Cake with Peanut Butter and Chocolate Chips,Quick and Easy Chicken Salad Sandwich,Edamame Slaw,Mango Orange Smoothie
3068.97,5,Breakfast Oatmeal with Milk and Blueberries,Yogurt with Almonds & Honey,All American Tuna,"Flour Tortilla with Peanut Butter, Blackberries, and Honey",
1421.25,3,Protein Veggie Omelet,Toast with Tomato and Hummus,Almond Mango Protein Shake,,
1421.25,4,Avocado & Smoked Salmon Omelet,Honey Grapefruit with Banana,Cottage Cheese with Dill Tuna,Pineapple & Avocado Salad,Very Green Veggie Protein Smoothie
1421.25,5,Garlic Eggs,Cinnamon Yogurt with Sliced Apple,Lime Chicken Salad,Mixed Greens with Sun-Dried Tomato Dressing,
1705.5,3,Greek Yogurt with Blue and Blackberries,Cinnamon Banana Mug Cake,White Bean & Artichoke Toast,,
1705.5,4,Protein Southwest Scramble,"Spinach, Pineapple, and Mango Berry Smoothie",Tuna and Avocado Wrap,"Yogurt with Blueberries, Sunflower Seeds, and Honey",Chia Cottage Cheese with Blueberries
1705.5,5,Egg White and Mushroom Omelet,"Rice Cake with Peanut Butter, Pear, and Honey",Greek Yogurt with Blue and Blackberries,Pecans,
1954.22,3,Classic Avocado Toast,Honey and Melon Cottage Cheese,Mango Protein Shake,,
1954.22,4,Vegan Tofu Spinach Scramble,Brie cheese on bread,Peaches and Cream Protein Shake,Easy Tossed Salad,Almonds and Blueberries Yogurt Snack
1954.22,5,Spinach and Poached Egg Muffins,Bacon,Chocolate Almond Milk Protein Shake,"Banana, Almond Butter, and Dates",
2202.94,3,Herb Omelette with Fried Tomatoes,Banana,Paleo Avocado Tuna Salad (Tuna in Oil),,
2202.94,4,Egg White Avocado & Tomato Scramble,"Rice Cake with Strawberries, Cottage Cheese, and Honey",Simple Strawberry Protein Shake,Green Kale Salad,Garlic Herb Popcorn
2202.94,5,Blueberry Banana Smoothie,Microwave Poached Eggs,Cilantro Crab & Corn Stuffed Peppers,Thai Cucumber Salad,
2451.66,3,French Toast with Fruit,Whey Chocolate Shake,Tomato & Basil Salad,,
2451.66,4,Blueberry Blast Smoothie,Nonfat greek yogurt,Kale White Bean and Pesto Salad,Turkey Cottage Cheese Lettuce Wrap,"Turkey, Ham, and Avocado on Rye"
2451.66,5,High Protein Omelet,Guacamole on Tostada,Chicken Celery Sticks,Carrots with Hummus,
2700.38,3,Pumpkin Pie Spiced Waffles,Light Nectarine Yogurt,Strawberry Oatmeal Protein Smoothie,,
2700.38,4,Scrambled Eggs on Toast with Vegemite and Avocado,Yogurt with Grapefruit & Honey,Blueberry Almond Butter Protein Smoothie,Almonds,Trail Mix
2700.38,5,Banana Peanut Butter Chia Pudding,Very Berry Cottage Cheese,Peach and Blueberry Parfait,Mixed Greens with Sliced Cucumber and Avocado,
2055.25,3,Peanut Butter Protein Yogurt,Peanut Butter and Peach Toast,Mocha Berry Almond Smoothie,,
2055.25,4,Peanut Butter Berry Pineapple Protein Smoothie,Buttered Toast with Cinnamon,Simple Ham and Lettuce Sandwich,Strawberries,Cucumber Avocado Toast
2055.25,5,Spinach and Poached Egg Muffins,Cinnamon Apple Bites,Tuna Stuffed Pepper,Veggie Apple Smoothie,
2466.3,3,Oatmeal banana protein shake,PB & Dates Energy Bites,Turkey Wrap,,
2466.3,4,Bruleed Banana and Peanut Butter English Muffins,Chocolate Avocado Smoothie,Protein Greek Yogurt and Fruit Salad,"Flour Tortilla with Peanut Butter, Blackberries, and Honey","Turkey, Ham, and Avocado on Rye"
2466.3,5,Hard Boiled Egg and Avocado Bowl,Light Nectarine Yogurt,Barbecue tuna sandwich,Strawberry and Walnut Spinach Salad,
2825.97,3,Blueberry and Sunflower Seed Steel Cut Oatmeal,Lime Avocado Milkshake,Salmon Salad,,
2825.97,4,Protein Pancake,Cherry Berry Protein Smoothie,Protein Greek Yogurt and Fruit Salad,Ants on a Log,Matcha Green Tea Chia Pudding
2825.97,5,Blueberry and Sunflower Seed Steel Cut Oatmeal,Papaya Flaxseed Shake,Paleo Avocado Tuna Salad (Tuna in Oil),Blueberries,
3185.64,3,Scrambled Eggs with Bacon and Avocado,Very Berry Cottage Cheese,Avocado Breakfast Smoothie,,
3185.64,4,Cranberry-Banana Oatmeal,Protein-boosted Yogurt,Blueberry Almond Butter Protein Smoothie,Apples and Almond Butter,Classic Tuna Salad
3185.64,5,"Spinach, Onion, Mushroom, and Bell Pepper Egg White Omelet",Rice Cake with Peanut Butter and Chocolate Chips,Cilantro Crab & Corn Stuffed Peppers,Yogurt & Raisins,
3545.31,3,Blueberry Shake,Cinnamon Banana Mug Cake,Red Eye Protein Parfait,,
3545.31,4,Pumpkin Pecan Oatmeal,Nonfat greek yogurt,Post-Workout Peanut Butter Shake,Summer Pepper and Tomato Salad,Turkey Hummus Wrap
3545.31,5,Chocolate peanut protein shake,Rice Cakes with Banana & Almond Butter,Red Eye Protein Parfait,Easy Spinach and Scallion Salad,
3904.97,3,Bacon Breakfast Tacos,Rice Cake with Peanut Butter and Chocolate Chips,1000 Calorie Shake,,
3904.97,4,Chocolate PB & Banana Protein Shake,Almond Butter Banana Toast,Salmon Salad,Smoked Almond Cottage Cheese Endive Bites,Turkey Hummus Wrap
3904.97,5,Banana Mash Muscle Muffins,Strawberries,Oatmeal Banana Peanut Butter Chocolate Shake,Mixed Greens with Sun-Dried Tomato Dressing,
1647.5,3,Protein Power Oats,Avocado Rice Cake,Baby Carrot Banana Smoothie,,
1647.5,4,Egg White Avocado & Tomato Scramble,Yogurt & Strawberries,Lemon-Pepper Tuna Sandwich,Mediterranean Chopped Salad,Chia Cottage Cheese with Blueberries
1647.5,5,Raspberry Peanut Butter Protein Smoothie,PB & Dates Energy Bites,Almonds and Blueberries Yogurt Snack,Mixed Greens with Sliced Cucumber and Avocado,
1977,3,Avocado Toast,Protein-boosted Honey Yogurt,Simple Ham and Lettuce Sandwich,,
1977,4,"Egg, Avocado, and Bacon Scramble",Banana,Strawberry Almond Trim Smoothie,Strawberry and Walnut Spinach Salad,Prosciutto-Wrapped Pears with Blue Cheese
1977,5,Peanut Butter Raspberry Oatmeal,Light Raspberry yogurt,Orange Creamsicle Protein Shake,Mixed Greens with Sliced Cucumber and Avocado,
2265.31,3,Blueberry Banana Smoothie,Peaches & Almond Butter on Toast,Kale White Bean and Pesto Salad,,
